# IPsum Threat Intelligence Feed
# (https://github.com/stamparm/ipsum)
#
# Last update: Sun, 19 Jun 2022 03:06:43 +0200
#
# IP	number of (black)lists
#
185.220.102.244	9
107.152.217.2	9
45.155.204.3	8
103.251.167.21	8
185.220.102.246	8
162.247.74.74	8
171.25.193.77	8
144.172.73.66	8
185.220.100.255	8
193.106.191.80	8
185.100.86.74	8
171.25.193.25	8
179.60.147.74	8
185.107.47.215	8
116.98.162.249	8
185.220.102.250	8
45.154.98.176	8
185.100.87.202	8
178.20.55.16	7
91.240.118.105	7
94.102.56.10	7
109.70.100.20	7
89.234.157.254	7
144.172.73.16	7
185.220.102.248	7
171.25.193.78	7
185.220.101.4	7
92.255.85.69	7
80.82.77.139	7
92.255.85.70	7
185.100.87.133	7
81.17.18.62	7
185.42.170.203	7
185.220.100.254	7
103.251.167.20	7
199.249.230.87	7
185.220.102.6	7
185.220.102.7	7
164.92.218.139	7
162.247.74.216	7
66.210.252.239	7
171.25.193.20	7
185.56.80.65	7
106.10.122.53	7
185.129.62.62	7
81.17.18.58	7
185.220.101.17	7
31.7.58.162	7
185.220.101.149	7
62.204.41.56	7
185.220.103.119	7
104.244.74.57	6
128.31.0.13	6
162.247.74.206	6
162.247.74.204	6
45.61.188.110	6
211.253.10.96	6
109.70.100.22	6
205.185.115.33	6
92.246.84.133	6
83.137.158.12	6
68.183.188.159	6
185.220.102.242	6
185.195.71.2	6
185.107.47.171	6
185.220.101.9	6
185.220.101.8	6
45.154.255.140	6
116.98.174.172	6
46.19.137.50	6
81.17.18.60	6
162.243.136.58	6
185.220.101.146	6
54.36.108.162	6
185.220.100.253	6
185.220.100.252	6
198.96.155.3	6
83.137.158.4	6
61.177.172.61	6
185.220.101.24	6
192.42.116.16	6
94.102.56.8	6
62.197.136.157	6
185.220.102.4	6
185.220.102.8	6
185.220.101.10	6
185.14.97.176	6
109.70.100.19	6
159.203.102.122	6
185.142.236.34	6
107.189.5.249	6
93.174.95.106	6
185.220.103.8	6
104.244.76.203	6
198.98.51.189	6
179.43.142.21	6
162.247.74.217	6
162.247.74.213	6
167.86.94.107	6
107.189.1.175	6
37.0.11.224	6
185.220.102.253	6
185.220.102.251	6
185.67.82.114	6
80.67.172.162	6
125.212.233.50	6
146.59.233.33	6
61.177.172.108	6
185.220.101.58	6
62.102.148.69	6
213.252.140.118	6
185.129.61.2	6
46.182.21.248	6
185.165.190.34	6
117.232.127.51	6
45.61.187.12	6
192.42.116.24	6
107.189.12.183	6
209.141.54.195	6
181.129.14.218	6
162.247.74.27	6
179.43.154.134	6
195.206.105.217	6
185.34.33.2	6
209.141.60.126	5
128.199.99.204	5
163.44.197.129	5
178.62.81.147	5
107.170.131.23	5
211.193.31.52	5
66.146.193.33	5
45.80.64.230	5
218.92.0.221	5
80.82.77.33	5
222.173.82.126	5
152.32.129.53	5
162.247.74.201	5
162.247.74.200	5
185.180.143.142	5
185.243.218.46	5
94.102.56.11	5
217.79.179.7	5
185.220.100.250	5
139.59.103.136	5
165.227.211.13	5
198.98.57.207	5
109.70.100.26	5
109.70.100.28	5
31.42.184.136	5
5.2.77.22	5
103.215.139.109	5
157.230.218.88	5
120.35.26.129	5
2.56.59.145	5
84.2.226.70	5
23.95.164.237	5
149.56.44.47	5
59.26.216.102	5
104.248.94.149	5
83.137.158.10	5
109.70.100.29	5
195.176.3.20	5
61.177.173.55	5
61.177.173.56	5
61.177.173.51	5
61.177.173.50	5
61.177.173.53	5
61.177.173.52	5
185.36.81.95	5
103.178.236.132	5
167.172.246.83	5
185.220.102.247	5
185.220.102.243	5
185.220.102.249	5
192.241.216.25	5
116.105.166.220	5
161.35.108.241	5
206.189.233.23	5
60.196.69.234	5
116.105.217.82	5
212.102.50.33	5
185.220.101.84	5
46.101.224.184	5
157.230.210.84	5
61.177.172.174	5
107.189.28.157	5
150.95.64.26	5
104.131.180.54	5
196.38.70.24	5
104.244.74.253	5
103.251.167.10	5
107.173.209.238	5
109.70.100.84	5
178.20.55.18	5
157.245.218.29	5
189.7.129.60	5
185.220.101.1	5
61.177.172.114	5
187.94.16.59	5
68.183.156.109	5
89.58.42.239	5
60.8.87.190	5
185.220.101.188	5
185.220.101.185	5
161.35.228.51	5
72.167.47.69	5
45.133.1.131	5
45.163.144.2	5
106.38.203.230	5
185.220.101.48	5
185.220.101.40	5
116.98.160.207	5
83.97.20.151	5
106.241.33.158	5
165.227.124.168	5
185.100.87.139	5
161.35.45.62	5
165.22.14.77	5
165.227.25.154	5
60.219.171.134	5
185.170.114.25	5
144.217.86.109	5
109.70.100.33	5
185.220.103.118	5
222.255.115.237	5
130.149.80.199	5
186.10.125.209	5
185.220.101.66	5
107.189.31.134	5
138.68.178.64	5
185.254.75.32	5
46.101.207.32	5
81.17.18.61	5
185.130.47.58	5
162.247.72.199	5
193.218.118.158	5
138.68.40.92	5
1.214.245.27	5
194.26.192.172	5
121.46.24.111	5
159.203.177.45	5
61.177.172.87	5
107.174.138.172	5
104.236.124.45	5
185.220.100.251	5
109.74.204.123	5
45.183.192.14	5
45.128.133.242	5
185.220.101.56	5
206.189.189.7	5
124.28.218.130	5
185.220.101.22	5
192.42.116.14	5
209.141.41.103	5
51.77.52.216	5
185.146.232.191	5
166.70.207.2	5
72.240.125.133	5
94.102.56.9	5
51.89.138.51	5
175.207.13.22	5
104.248.141.166	5
185.220.101.178	5
185.130.44.108	5
143.110.190.26	5
185.100.87.174	5
139.198.169.252	5
187.72.177.131	5
47.181.159.172	5
71.6.135.131	5
92.35.66.155	5
91.219.236.197	5
74.82.47.194	5
182.59.139.27	5
178.128.218.29	5
185.243.218.32	5
185.220.101.16	5
200.118.57.190	5
185.196.220.81	5
128.199.177.224	5
67.205.187.133	5
185.220.103.120	5
45.135.232.155	5
66.240.219.146	5
36.66.151.17	5
61.177.173.46	5
202.51.74.123	5
103.147.4.25	5
185.220.101.131	5
202.170.57.253	5
116.110.92.78	5
144.126.197.136	5
185.220.103.7	5
159.65.64.70	5
61.177.173.61	5
36.110.228.254	5
192.241.220.135	5
74.201.25.119	5
124.160.96.249	5
181.199.122.86	5
178.73.215.171	5
114.7.162.198	5
138.197.151.213	5
165.227.176.221	5
134.209.147.165	5
198.98.50.112	5
185.243.218.78	5
87.118.110.27	5
107.189.11.228	5
107.189.29.207	5
171.25.193.235	5
173.249.57.253	5
61.177.173.47	5
61.177.173.44	5
61.177.173.40	5
61.177.173.41	5
61.177.173.48	5
61.177.173.49	5
118.212.146.42	5
45.154.255.138	5
142.93.8.99	5
182.71.85.94	5
116.105.160.216	5
60.210.40.210	5
91.211.89.107	5
85.247.0.210	5
157.230.132.100	5
95.85.39.74	5
104.248.181.156	5
190.117.113.32	5
46.232.251.191	5
116.105.164.140	5
195.176.3.23	5
179.43.155.196	5
185.233.100.23	5
195.176.3.19	5
91.203.5.118	5
61.177.172.160	5
138.197.184.178	5
